,text,tag
3749,이 어둠이 가시면 새 아침이 오듯이 종가도 종손도 허물어짐으로 하여 진정 길녀나 태식이나 자기같은 사람들이 행복하게 살 수 있는 날이 올 것만 같다.,OOBIOOOOOOOOBIOOOOOOBIOOBIOOOOOOOOOOOOOOOBIOOBIIOOOOOOOBIOOOBIOOOOOOOOOOBOOOOOOOOOO
13775,"특히 연세춘추 기자 시절에는 언론의 진정한 방향에 대해서 사상계를, 바람직한 언론인상으로서는 장준하張俊河 선생을 꼽을 정도였다.",OOOBIIIOBIOBIOOOBIOOOOOOBIOOOOOOBIOOOOOOOOOBIIOOOOOOBIIOOOOBIOOOOOBIOOO
50385,"질문 (1) 주최측에서는 처음 시작보다 인원이 적은 이유를 뭐라고 생각합니까? 답ː 솔직하게 말해서, 첫날 전 놀랐어요.",BIOOOOOBIOOOOOBIOBIOOOBIOOOOOBIOOOOOOBIOOOOOBOOOOOOOBOOOOBIOOOOOOOO
49648,"""나, 강태진이란다.",OOOOBIIOOOO
47319,1.1 시가문학의 장르론,OOOOBIOOOOBIO
74870,"제3세대 백금착제 항암제 선플라는 수입품인 시스플라틴이나 카보플라틴과 비교해 치료효과에 손색이 없을 뿐 아니라, 부작용도 적은 것으로 알려졌다.",OOBIOBIIIOBIIOBIIOOBIIOOBIIIIOOOBIIIIOOBIOOBIOOOOBIOOOOOOOOOOOOBIIOOOOOOOOOOOOOO
51007,소광통교에 이르러 갑자기 회오리 바람이 앞에서 일더니 붉은 보자기가 반쯤 벗겨졌다.,OBIIOOOOOOOOOOBIIOBIOOBOOOOOOOOOOBIIOOBIOOOOOO
37854,처음 제시를 만났던 날 그녀가 읽고 있던 책이다.,BIOBIOOOOOOBOOOOOOOOOOOBOOO
20579,소리는 벽에서 나는 것은 아니라 분명 천장에서 나고 있었다.,BIOOBOOOOOOOOOOOOOOOOBIOOOOOOOOOO
7954,자아의 기능은 거의 의식적인 성격 기능이라고 할 수 있으나 상당한 부분은 무의식적인 기능이다.,BIOOBIOOOOOBIOOOBIOBIOOOOOOOOOOOOBIOOBIOOOBIOOOBIOOO
14534,"원형광장에 8개 방사선 가로가 결합된 경관구조는 일본인 학자 선생영조(善生永助)가 말했듯이 일본을 상징하는 ""빛나는 태양의 형상""(욱일형, 旭日形)을 취한 것이다.",BIOOOOOOOBIIOBIOOBIOOBIOOOOBIIOBIOBIIIOOOOOOOOBOOOOBIOOBIOOOOOOOOBIOOBIBIOOOOOOOOOOOOOOOOOO
4291,밥,B
68342,"또한 광우병이 몰고 온 육식에 대한 부정적인 사회 분위기에 편승하여 출간된 채식주의 관련 책자가 적지 않은 독자들의 경각심을 유발하고 있으며, 이를 반영하여 방송매체나 대중잡지에서 채식주의자의 주장을 비중 있게 다룬 데 힘입은 바 클 것이다.",OOOBIIOOOOOOOBIOOOOOBIOOOBIOBIIOOBIOOOBIOOBIIIOBIOBIOOOOOOOOBIOOOBIIOOBIOOOOOOOOOOOBIOOOBIOOOOBIOOOOOBIIIIOOBIOOBIOOOOOOOOOOOOOOOOOOOOO
19415,승부에 집착하는 유태인 출신의 마라토너는 왜 달리냐고 묻는 여자에게 그렇게 대답했다.,BIOOBIOOOBIIOBIOOBIIIOOOOOOOOOOOOBIOOOOOOOBIOOO
27008,제멋대로 앞질러만 가려는 상상력에 급히 제동을 걸면서 상덕은 실소했다.,OOOOOOOOOOOOOOBIIOOOOOBIOOOOOOBIOOBIOOO
22914,나는 천천히 눈을 들어 시찰구 쪽을 쳐다보았다.,OOOOOOOBOOOOOBIIOOOOOOOOOO
67937,그러한 바탕에서 쓰인 이태준의 수필에는 무위의 멋이 있다.,OOOOBIOOOOOOBIIOOBIOOOBIOOBOOOOO
17631,혹시 여러분은 이해할 수 있는지요.,OOOOOOOOBIOOOOOOOOO
45680,"이런 징후군을 주인공 박창도가 여인과 정사를 나누며 여인의 몸을 핥는 일, 박형도의 몸에다 손가락으로 또는 청색 사인펜으로 무수히 낙서하는 여인의 행위에서 조금 엿볼 수는 있다.",OOOBIIOOBIIOBIIOOBIOOBIOOOOOOBIOOBOOOOOBOOBIIOOBOOOBIIOOOOOOBIOBIIOOOOOOOBIOOOBIOOBIOOOOOOOOOOOOOOO
22399,아줌마도 입다물고 나도 입다물었어요.,BIIOOBOOOOOOOBOOOOOO
8206,"남편의 목소리가 착 가라앉았고, 아차 하면서 나는 숨을 삼킨다.",BIOOBIIOOOOOOOOOOOOOOOOOOOOOBOOOOOO
14758,"거기서 아르바이트할 수 있게,",OOOOBIIIIOOOOOOO
1936,본래 Logos는 말과 길 두 개의 뜻을 가지고 있다고 본다.,OOOOOOOOOOBOOBOOOOOOBOOOOOOOOOOOOO
